estimator_label,pi,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,0.1,18000,17977,23,1,0.1234222222,0.2,1.11251339,1.315048994,1.274325728,0.9541080269,0.001560660831,0.9510491317,0.9571669222,3.757015299,4,0.7273888889,,,0.001277777778,0.1459444444,,,,,,,,,
DML-IVQR,0.25,18000,17985,15,1,0.0017,0,0.9140754781,1.120789041,1.152640364,0.9487906589,0.001643631944,0.9455691403,0.9520121775,3.450846115,3.883436311,0.4531666667,,,0.0008333333333,0.1037222222,,,,,,,,,
DML-IVQR,0.5,18000,17995,5,1,-0.0472,0,0.620153237,0.802945732,0.927513976,0.9478744096,0.001657009382,0.9446266712,0.9511221479,2.744535175,2.724684313,0.1358333333,,,0.0002777777778,0.04488888889,,,,,,,,,
DML-IVQR,1,18000,18000,0,1,-0.04072222222,0,0.391518382,0.5159455038,0.731118061,0.9451666667,0.001696837563,0.941840865,0.9484924683,1.885535411,1.794324357,0.007222222222,,,0,0.01172222222,,,,,,,,,
Oracle IVQR,0.1,18000,18000,0,1,0.02566666667,0.0744897502,1.073903558,1.280874138,1.261772432,0.9472222222,0.001666538061,0.9439558076,0.9504886368,3.643474483,4,0.6081666667,0.0006111111111,0.2282222222,0,0.1448333333,0.6953888889,0,0,0,,,,,
Oracle IVQR,0.25,18000,18000,0,1,-0.03537777778,0,0.7027963005,0.8914905241,0.9890862709,0.9438333333,0.001716132153,0.9404697143,0.9471969524,2.977252676,3.014768305,0.1631666667,0.0001111111111,0.2703333333,0,0.0605,0.702,0,0,0,,,,,
Oracle IVQR,0.5,18000,18000,0,1,-0.016,0,0.3939151359,0.5142198538,0.721612112,0.9425555556,0.001734367964,0.9391561943,0.9459549168,1.891692468,1.788381002,0.003555555556,0,0.1230555556,0,0.008333333333,0.7017777778,0,0,0,,,,,
Oracle IVQR,1,18000,18000,0,1,-0.001255555556,0,0.236625687,0.3063268541,0.6033672033,0.9341666667,0.001848412315,0.9305437785,0.9377895548,1.11358435,1.062454656,0,0,0.0165,0,0.0002777777778,0.7013333333,0,0,0,,,,,
Post-selection IVQR,0.1,18000,17998,2,1,0.0115,0.03711079121,1.082717205,1.290153993,1.266973312,0.9331036782,0.001862318454,0.929453534,0.9367538224,3.583062223,4,0.5721666667,0.002055555556,0.2485,0.0001111111111,0.1463888889,0.8982777778,0,0,0,19.2025,17,3,87,1
Post-selection IVQR,0.25,18000,18000,0,1,-0.09411111111,-0.0558002707,0.7355830806,0.9320637463,0.9980573324,0.9303333333,0.001897560162,0.9266141154,0.9340525513,2.938724876,2.967051246,0.1524444444,0.0002222222222,0.2669444444,0,0.06522222222,0.8994444444,0,0,0,18.95772222,17,3,101,1
Post-selection IVQR,0.5,18000,18000,0,1,-0.08566666667,-0.03711079121,0.4217159786,0.5548726322,0.711399563,0.9238333333,0.001977165558,0.9199580888,0.9277085778,1.885758947,1.78525317,0.004,0,0.1259444444,0,0.01033333333,0.9050555556,0,0,0,19.00311111,17,2,101,1
Post-selection IVQR,1,18000,18000,0,1,-0.0583,-0.03711079121,0.2546828413,0.3346129974,0.5761207385,0.9093333333,0.002140174217,0.9051385919,0.9135280748,1.112335599,1.053603909,0,0,0.01794444444,0,0.0002777777778,0.8915,0,0,0,18.58861111,17,2,108,1
