estimator_label,n,p,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,500,200,18000,17991,9,1,0.0218,0,0.8138917511,1.034079655,1.076096951,0.9471958201,0.001667348509,0.9439278171,0.9504638232,3.122874087,3.429240579,0.3695,,,0.0005,0.08211111111,,,,,,,,,
DML-IVQR,500,500,18000,17987,13,1,0.02193333333,0,0.8554131684,1.073242499,1.11041368,0.94935231,0.001634986457,0.9461477365,0.9525568835,3.238364475,3.627772091,0.3995555556,,,0.0007222222222,0.09366666667,,,,,,,,,
DML-IVQR,1000,200,18000,17995,5,1,-0.02106666667,0,0.5955833106,0.82398695,0.926040228,0.9499861073,0.001624905209,0.946801293,0.9531709215,2.467960548,2.303362445,0.2151111111,,,0.0002777777778,0.05161111111,,,,,,,,,
DML-IVQR,1000,500,18000,17984,16,1,0.01453333333,0,0.7733722574,0.9981577303,1.056531914,0.9493994662,0.001634402033,0.9461960382,0.9526028942,3.007553364,3.228059818,0.3394444444,,,0.0008888888889,0.07888888889,,,,,,,,,
Oracle IVQR,500,200,18000,18000,0,1,-0.004255555556,0,0.6664921589,0.8974030684,0.9791207139,0.9417222222,0.001746130299,0.9382998068,0.9451446376,2.60584401,2.531930682,0.2307777778,0.0003333333333,0.1699444444,0,0.06516666667,0.7298888889,0,0,0,,,,,
Oracle IVQR,500,500,18000,18000,0,1,-0.008955555556,0,0.659661207,0.8924244655,0.9734561561,0.9420555556,0.001741437558,0.9386423379,0.9454687732,2.596598602,2.500360213,0.2278333333,0.0001666666667,0.1716666667,0,0.06194444444,0.7268888889,0,0,0,,,,,
Oracle IVQR,1000,200,18000,18000,0,1,-0.005133333333,0,0.5442186844,0.7770588009,0.8832309933,0.9414444444,0.00175002861,0.9380143884,0.9448745005,2.209002898,1.927611516,0.1559444444,0.0001666666667,0.1486111111,0,0.04466666667,0.6662777778,0,0,0,,,,,
Oracle IVQR,1000,500,18000,18000,0,1,-0.008622222222,0,0.5368686312,0.7668624627,0.8779038338,0.9425555556,0.001734367964,0.9391561943,0.9459549168,2.214558467,1.93421034,0.1603333333,5.555555556e-05,0.1478888889,0,0.04216666667,0.6774444444,0,0,0,,,,,
Post-selection IVQR,500,200,18000,18000,0,1,-0.04916666667,-0.03711079121,0.6879207807,0.9214338077,0.9747967802,0.9245555556,0.001968538378,0.9206972203,0.9284138908,2.576924944,2.498591074,0.2185555556,0.001055555556,0.1741111111,0,0.06411111111,0.9080555556,0,0,0,18.21638889,17,3,108,1
Post-selection IVQR,500,500,18000,18000,0,1,-0.09218888889,-0.0744897502,0.6995441419,0.9325505904,0.9769662857,0.9176666667,0.002048774099,0.9136510694,0.9216822639,2.571764536,2.466625639,0.2136111111,0.0008888888889,0.1818888889,0,0.06938888889,0.9091111111,0,0,0,19.59144444,17,2,101,1
Post-selection IVQR,1000,200,18000,17999,1,1,-0.03615555556,0,0.5512841732,0.7833057335,0.8797286162,0.9286071448,0.001919195414,0.9248455218,0.9323687679,2.181654377,1.90495108,0.1476666667,0.0001666666667,0.1492222222,5.555555556e-05,0.04583333333,0.8873888889,0,0,0,18.43766667,17,4,83,1
Post-selection IVQR,1000,500,18000,17999,1,1,-0.04906666667,-0.03711079121,0.5559500094,0.7879282404,0.8751149177,0.9257736541,0.001953922171,0.9219439666,0.9296033415,2.189382504,1.917785527,0.1487777778,0.0001666666667,0.1541111111,5.555555556e-05,0.04288888889,0.8897222222,0,0,0,19.50644444,17,3,101,1
