dgp,n,p,pi,tau,oracle_bias,post_selection_bias,dml_bias
dgp1,500,200,0.1,0.25,0.9245,0.2245,1.3245
dgp1,500,200,0.1,0.5,0.15,0.4,0.8
dgp1,500,200,0.1,0.75,-1.0745,-0.9245,-1.2245
dgp1,500,200,0.25,0.25,1.0745,0.6245,0.6745
dgp1,500,200,0.25,0.5,0.0,-0.25,-0.05
dgp1,500,200,0.25,0.75,-0.8245,-0.5245,-0.6745
dgp1,500,200,0.5,0.25,0.7245,0.2245,0.4245
dgp1,500,200,0.5,0.5,-0.15,0.2,0.1
dgp1,500,200,0.5,0.75,-0.2745,-0.0745,-0.2245
dgp1,500,200,1.0,0.25,0.4745,0.1745,0.3245
dgp1,500,200,1.0,0.5,0.05,0.0,0.15
dgp1,500,200,1.0,0.75,-0.1745,-0.0245,-0.1745
dgp1,500,500,0.1,0.25,1.1245,0.7245,1.2745
dgp1,500,500,0.1,0.5,1.35,0.45,0.4
dgp1,500,500,0.1,0.75,-1.1745,-0.8745,-0.3745
dgp1,500,500,0.25,0.25,1.1745,0.2745,0.6245
dgp1,500,500,0.25,0.5,-0.25,0.05,-0.1
dgp1,500,500,0.25,0.75,-0.6245,-0.4745,-0.5745
dgp1,500,500,0.5,0.25,0.9245,0.2245,0.6245
dgp1,500,500,0.5,0.5,0.05,0.15,0.25
dgp1,500,500,0.5,0.75,-0.1745,-0.2245,-0.4745
dgp1,500,500,1.0,0.25,0.5245,0.1745,0.4245
dgp1,500,500,1.0,0.5,0.0,0.0,0.15
dgp1,500,500,1.0,0.75,-0.1745,-0.0745,-0.4245
dgp1,1000,200,0.5,0.25,0.6745,0.5245,0.2745
dgp1,1000,200,1.0,0.25,0.6745,0.3745,0.2245
dgp1,1000,200,1.0,0.5,0.05,0.1,0.0
dgp1,1000,200,1.0,0.75,-0.1745,-0.1745,-0.1245
