dgp,n,p,pi,tau,oracle_coverage,post_selection_coverage,dml_coverage
dgp1,500,200,0.1,0.25,0.0,0.7,0.6
dgp1,500,200,0.1,0.5,0.2,0.8,0.9
dgp1,500,200,0.1,0.75,0.0,0.8,0.9
dgp1,500,200,0.25,0.25,0.0,0.6,0.6
dgp1,500,200,0.25,0.5,0.3,0.8,0.8
dgp1,500,200,0.25,0.75,0.0,0.7,0.9
dgp1,500,200,0.5,0.25,0.0,0.8,0.9
dgp1,500,200,0.5,0.5,0.6,0.9,0.9
dgp1,500,200,0.5,0.75,0.0,0.9,0.9
dgp1,500,200,1.0,0.25,0.2,0.5,0.4
dgp1,500,200,1.0,0.5,1.0,1.0,0.8
dgp1,500,200,1.0,0.75,0.0,0.4,0.6
dgp1,500,500,0.1,0.25,0.0,0.9,0.8
dgp1,500,500,0.1,0.5,0.2,0.7,0.7
dgp1,500,500,0.1,0.75,0.0,0.8,0.8
dgp1,500,500,0.25,0.25,0.0,0.9,1.0
dgp1,500,500,0.25,0.5,0.4,0.9,0.7
dgp1,500,500,0.25,0.75,0.0,0.8,1.0
dgp1,500,500,0.5,0.25,0.0,0.5,0.5
dgp1,500,500,0.5,0.5,0.4,0.8,0.8
dgp1,500,500,0.5,0.75,0.1,0.8,0.7
dgp1,500,500,1.0,0.25,0.0,0.3,0.1
dgp1,500,500,1.0,0.5,0.9,1.0,0.8
dgp1,500,500,1.0,0.75,0.0,0.7,0.4
dgp1,1000,200,0.5,0.25,0.0,0.0,0.8
dgp1,1000,200,1.0,0.25,0.0,0.0,0.1
dgp1,1000,200,1.0,0.5,0.8,1.0,1.0
dgp1,1000,200,1.0,0.75,0.0,0.0,0.4
